"","data_type","season","model","model_specification","bic"
"1","neg_bin","autumn","full","bat + slope + eke + chl + sst + sss + mld + sst_grad + clim_sst_grad",3082.14230856928
"2","neg_bin","autumn","best","bat + chl + sst + mld + clim_sst_grad",3082.14230856928
