"","data_type","season","model","model_specification","bic"
"1","neg_bin","spring","full","bat_mean_slope_mean_dist_coast_mean_eke_mean_chl_mean_sst_mean_sss_mean_mld_mean_sst_grad_mean_clim_sst_grad_mean_clim_eke_mean_mean",5854.31541918608
"2","neg_bin","spring","best","sst_mean_clim_eke_mean_mean",5824.37690371078
