"","data_type","season","model","model_specification","bic"
"1","bernoulli","spring","full","bat + slope + dist_coast + eke + chl + sst + sss + mld + sst_grad + clim_sst_grad + clim_eke_mean",2345.59796028939
"2","bernoulli","spring","best","bat + sst",2306.70233856605
