"","data_type","season","model","model_specification","bic"
"1","bernoulli","summer","full","bat_mean_slope_mean_eke_mean_sst_mean_sss_mean_mld_mean_sst_grad_mean",1518.95567815025
"2","bernoulli","summer","best","bat_mean_sss_mean",1505.13172207847
